,commune,infected,code
0,Aabenraa,116,0580
1,Aalborg,829,0851
2,Aarhus,2564,0751
3,Albertslund,323,0165
4,Allerød,120,0201
5,Assens,53,0420
6,Ballerup,452,0151
7,Billund,57,0530
8,Bornholm,110,0400
9,Brøndby,508,0153
10,Brønderslev,248,0810
11,København,6036,0nan
12,Dragør,57,0155
13,Egedal,409,0240
14,Esbjerg,409,0561
15,Faaborg-Midtfyn,143,0430
16,Fanø,8,0563
17,Favrskov,91,0710
18,Faxe,134,0320
19,Fredensborg,201,0210
20,Fredericia,207,0607
21,Frederiksberg,990,0147
22,Frederikshavn,241,0813
23,Frederikssund,227,0250
24,Furesø,201,0190
25,Gentofte,565,0157
26,Gladsaxe,605,0159
27,Glostrup,325,0161
28,Greve,299,0253
29,Gribskov,155,0270
30,Guldborgsund,144,0376
31,Haderslev,49,0510
32,Halsnæs,93,0260
33,Hedensted,86,0766
34,Helsingør,397,0217
35,Herlev,339,0163
36,Herning,368,0657
37,Hillerød,274,0219
38,Hjørring,337,0860
39,Holbæk,294,0316
40,Holstebro,354,0661
41,Horsens,212,0615
42,Hvidovre,645,0167
43,Høje Taastrup,516,0169
44,Hørsholm,144,0223
45,Ikast-Brande,112,0756
46,Ishøj,415,0183
47,Jammerbugt,83,0849
48,Kalundborg,138,0326
49,Kerteminde,68,0440
50,Kolding,271,0621
51,Køge,419,0259
52,Langeland,14,0482
53,Lejre,146,0350
54,Lemvig,43,0665
55,Lolland,123,0360
56,Lyngby-Taarbæk,355,0173
57,Læsø,8,0825
58,Mariagerfjord,85,0846
59,Middelfart,82,0410
60,Morsø,31,0773
61,Norddjurs,52,0707
62,Nordfyns,50,0480
63,Nyborg,87,0450
64,Næstved,300,0370
65,Odder,64,0727
66,Odense,848,0461
67,Odsherred,96,0306
68,Randers,207,0730
69,Rebild,59,0840
70,Ringkøbing-Skjern,171,0760
71,Ringsted,212,0329
72,Roskilde,506,0265
73,Rudersdal,379,0230
74,Rødovre,467,0175
75,Samsø,5,0741
76,Silkeborg,381,0740
77,Skanderborg,191,0746
78,Skive,135,0779
79,Slagelse,703,0330
80,Solrød,198,0269
81,Sorø,151,0340
82,Stevns,97,0336
83,Struer,76,0671
84,Svendborg,156,0479
85,Syddjurs,76,0706
86,Sønderborg,152,0540
87,Thisted,77,0787
88,Tårnby,312,0185
89,Tønder,69,0550
90,Vallensbæk,258,0187
91,Varde,122,0573
92,Vejen,80,0575
93,Vejle,298,0630
94,Vesthimmerlands,106,0820
95,Viborg,219,0791
96,Vordingborg,106,0390
97,Ærø,7,0492
