,municipality,code,region_name,region_code
0,Aabenraa,0580,Region Syddanmark,1083
1,Aalborg,0851,Region Nordjylland,1081
2,Aarhus,0751,Region Midtjylland,1082
3,Albertslund,0165,Region Hovedstaden,1084
4,Allerød,0201,Region Hovedstaden,1084
5,Assens,0420,Region Syddanmark,1083
6,Ballerup,0151,Region Hovedstaden,1084
7,Billund,0530,Region Syddanmark,1083
8,Bornholm,0400,Region Hovedstaden,1084
9,Brøndby,0153,Region Hovedstaden,1084
10,Brønderslev,0810,Region Nordjylland,1081
11,København,0nan,Region Hovedstaden,1084
12,Dragør,0155,Region Hovedstaden,1084
13,Egedal,0240,Region Hovedstaden,1084
14,Esbjerg,0561,Region Syddanmark,1083
15,Faaborg-Midtfyn,0430,Region Syddanmark,1083
16,Fanø,0563,Region Syddanmark,1083
17,Favrskov,0710,Region Midtjylland,1082
18,Faxe,0320,Region Sjælland,1085
19,Fredensborg,0210,Region Hovedstaden,1084
20,Fredericia,0607,Region Syddanmark,1083
21,Frederiksberg,0147,Region Hovedstaden,1084
22,Frederikshavn,0813,Region Nordjylland,1081
23,Frederikssund,0250,Region Hovedstaden,1084
24,Furesø,0190,Region Hovedstaden,1084
25,Gentofte,0157,Region Hovedstaden,1084
26,Gladsaxe,0159,Region Hovedstaden,1084
27,Glostrup,0161,Region Hovedstaden,1084
28,Greve,0253,Region Sjælland,1085
29,Gribskov,0270,Region Hovedstaden,1084
30,Guldborgsund,0376,Region Sjælland,1085
31,Haderslev,0510,Region Syddanmark,1083
32,Halsnæs,0260,Region Hovedstaden,1084
33,Hedensted,0766,Region Midtjylland,1082
34,Helsingør,0217,Region Hovedstaden,1084
35,Herlev,0163,Region Hovedstaden,1084
36,Herning,0657,Region Midtjylland,1082
37,Hillerød,0219,Region Hovedstaden,1084
38,Hjørring,0860,Region Nordjylland,1081
39,Holbæk,0316,Region Sjælland,1085
40,Holstebro,0661,Region Midtjylland,1082
41,Horsens,0615,Region Midtjylland,1082
42,Hvidovre,0167,Region Hovedstaden,1084
43,Høje Taastrup,0169,Region Hovedstaden,1084
44,Hørsholm,0223,Region Hovedstaden,1084
45,Ikast-Brande,0756,Region Midtjylland,1082
46,Ishøj,0183,Region Hovedstaden,1084
47,Jammerbugt,0849,Region Nordjylland,1081
48,Kalundborg,0326,Region Sjælland,1085
49,Kerteminde,0440,Region Syddanmark,1083
50,Kolding,0621,Region Syddanmark,1083
51,Køge,0259,Region Sjælland,1085
52,Langeland,0482,Region Syddanmark,1083
53,Lejre,0350,Region Sjælland,1085
54,Lemvig,0665,Region Midtjylland,1082
55,Lolland,0360,Region Sjælland,1085
56,Lyngby-Taarbæk,0173,Region Hovedstaden,1084
57,Læsø,0825,Region Nordjylland,1081
58,Mariagerfjord,0846,Region Nordjylland,1081
59,Middelfart,0410,Region Syddanmark,1083
60,Morsø,0773,Region Nordjylland,1081
61,Norddjurs,0707,Region Midtjylland,1082
62,Nordfyns,0480,Region Syddanmark,1083
63,Nyborg,0450,Region Syddanmark,1083
64,Næstved,0370,Region Sjælland,1085
65,Odder,0727,Region Midtjylland,1082
66,Odense,0461,Region Syddanmark,1083
67,Odsherred,0306,Region Sjælland,1085
68,Randers,0730,Region Midtjylland,1082
69,Rebild,0840,Region Nordjylland,1081
70,Ringkøbing-Skjern,0760,Region Midtjylland,1082
71,Ringsted,0329,Region Sjælland,1085
72,Roskilde,0265,Region Sjælland,1085
73,Rudersdal,0230,Region Hovedstaden,1084
74,Rødovre,0175,Region Hovedstaden,1084
75,Samsø,0741,Region Midtjylland,1082
76,Silkeborg,0740,Region Midtjylland,1082
77,Skanderborg,0746,Region Midtjylland,1082
78,Skive,0779,Region Midtjylland,1082
79,Slagelse,0330,Region Sjælland,1085
80,Solrød,0269,Region Sjælland,1085
81,Sorø,0340,Region Sjælland,1085
82,Stevns,0336,Region Sjælland,1085
83,Struer,0671,Region Midtjylland,1082
84,Svendborg,0479,Region Syddanmark,1083
85,Syddjurs,0706,Region Midtjylland,1082
86,Sønderborg,0540,Region Syddanmark,1083
87,Thisted,0787,Region Nordjylland,1081
88,Tårnby,0185,Region Hovedstaden,1084
89,Tønder,0550,Region Syddanmark,1083
90,Vallensbæk,0187,Region Hovedstaden,1084
91,Varde,0573,Region Syddanmark,1083
92,Vejen,0575,Region Syddanmark,1083
93,Vejle,0630,Region Syddanmark,1083
94,Vesthimmerlands,0820,Region Nordjylland,1081
95,Viborg,0791,Region Midtjylland,1082
96,Vordingborg,0390,Region Sjælland,1085
97,Ærø,0492,Region Syddanmark,1083
